user_id,food_id,frequency,timestamp
1915,203,7,2024-06-11
657,75,3,2024-03-31
1235,205,16,2024-01-05
1274,152,14,2024-02-13
748,65,7,2024-05-11
574,134,1,2024-05-05
653,43,2,2024-06-15
490,180,10,2024-03-08
920,111,11,2024-01-11
559,192,15,2024-06-17
165,86,18,2024-01-09
268,160,1,2024-05-26
40,78,13,2024-02-21
1853,121,13,2024-04-09
74,178,9,2024-06-27
769,86,12,2024-05-11
1749,201,14,2024-04-14
1449,88,5,2024-03-29
1473,67,18,2024-02-19
1002,73,9,2024-01-22
1871,116,3,2024-06-19
1871,82,17,2024-01-30
48,208,5,2024-01-28
498,20,6,2024-04-05
134,40,19,2024-03-01
1596,23,3,2024-01-03
1481,4,11,2024-06-07
145,40,19,2024-06-09
1978,118,11,2024-06-19
217,157,4,2024-01-15
1443,36,7,2024-01-21
381,24,3,2024-01-01
887,203,8,2024-02-23
103,184,3,2024-04-09
657,161,17,2024-02-19
975,210,7,2024-05-06
1240,181,6,2024-04-30
590,188,19,2024-01-16
907,48,17,2024-01-02
163,46,7,2024-03-08
295,139,19,2024-02-18
1434,32,3,2024-02-18
384,83,8,2024-02-11
809,163,19,2024-03-16
1232,106,17,2024-06-12
585,56,14,2024-03-05
1689,89,8,2024-05-15
15,168,9,2024-03-13
1545,42,3,2024-01-16
129,127,12,2024-01-16
1270,194,14,2024-01-21
1381,196,15,2024-01-04
1525,173,3,2024-03-22
1205,198,12,2024-06-27
1395,156,3,2024-05-25
538,187,11,2024-04-25
734,191,16,2024-04-04
1024,77,16,2024-03-21
1119,191,7,2024-02-28
1203,44,2,2024-06-25
723,105,15,2024-04-28
665,204,13,2024-04-28
1780,119,15,2024-02-09
291,189,13,2024-04-17
1945,7,5,2024-03-22
782,162,5,2024-04-12
749,4,14,2024-06-18
1855,45,5,2024-05-31
1938,48,7,2024-01-25
34,101,16,2024-02-08
555,87,7,2024-01-06
1019,101,6,2024-03-18
1700,141,9,2024-02-28
390,125,20,2024-05-07
887,112,6,2024-05-04
1985,171,2,2024-03-31
1970,28,3,2024-03-23
1446,123,20,2024-03-15
290,61,17,2024-05-06
1646,56,14,2024-05-05
27,79,6,2024-03-27
1292,80,20,2024-04-19
1253,32,20,2024-02-03
1085,73,11,2024-04-05
1653,177,5,2024-04-04
1158,122,3,2024-01-05
916,95,14,2024-03-04
429,84,8,2024-03-21
1299,122,9,2024-05-22
698,148,11,2024-06-27
399,33,11,2024-06-10
1173,59,19,2024-06-05
486,209,8,2024-05-05
1154,121,1,2024-03-21
1047,25,13,2024-02-07
1278,83,3,2024-05-15
1006,119,20,2024-03-09
138,116,13,2024-02-19
1621,198,9,2024-02-06
746,200,2,2024-05-01
506,58,1,2024-03-24
730,212,20,2024-05-03
1151,38,9,2024-03-22
993,81,20,2024-05-17
410,211,7,2024-06-01
1240,31,10,2024-01-16
1507,50,17,2024-05-09
579,64,13,2024-04-18
1435,210,1,2024-03-17
535,53,5,2024-03-16
52,8,14,2024-01-21
755,120,5,2024-04-24
1282,98,18,2024-02-10
1217,114,11,2024-01-28
1919,71,15,2024-03-11
406,181,20,2024-04-26
584,42,19,2024-02-02
662,5,4,2024-01-14
1778,84,18,2024-05-02
756,37,11,2024-04-06
1127,7,14,2024-06-14
664,102,6,2024-03-24
1256,215,2,2024-06-13
580,83,19,2024-05-25
81,131,2,2024-02-03
1018,17,3,2024-02-05
311,27,17,2024-02-11
1926,183,8,2024-01-24
1546,93,12,2024-03-27
167,106,11,2024-01-18
1009,103,18,2024-01-16
1075,107,13,2024-06-26
318,141,3,2024-02-23
919,41,4,2024-03-07
466,62,2,2024-06-14
1400,143,1,2024-01-14
1317,179,8,2024-05-02
87,11,8,2024-02-29
1946,40,5,2024-05-08
655,83,13,2024-06-11
1373,102,1,2024-05-10
1568,75,16,2024-01-07
1372,183,14,2024-05-20
140,11,7,2024-05-30
74,54,8,2024-05-29
1007,2,12,2024-06-28
166,149,12,2024-05-10
1841,213,6,2024-04-11
436,39,18,2024-01-02
1875,161,20,2024-03-13
545,143,12,2024-05-10
796,41,7,2024-06-04
525,86,7,2024-03-24
1839,67,13,2024-01-31
1333,74,15,2024-01-08
913,155,17,2024-04-13
420,48,4,2024-01-11
794,206,4,2024-02-22
410,195,19,2024-03-17
1706,177,7,2024-05-31
1675,78,12,2024-04-28
112,166,8,2024-05-25
1824,65,7,2024-05-10
49,80,1,2024-02-25
1699,47,11,2024-02-22
1024,185,13,2024-03-24
938,101,20,2024-02-12
1886,126,16,2024-05-23
1223,74,8,2024-01-20
1263,28,1,2024-01-08
1269,13,1,2024-03-11
1905,1,10,2024-04-23
782,187,19,2024-02-10
200,14,12,2024-02-25
1323,49,14,2024-04-05
156,72,14,2024-06-16
46,77,2,2024-01-31
619,37,9,2024-04-26
1905,205,7,2024-01-31
1883,163,1,2024-05-01
358,4,4,2024-01-23
1485,61,15,2024-05-28
1424,143,9,2024-03-10
47,180,19,2024-05-02
130,188,5,2024-02-25
134,102,13,2024-01-08
77,128,14,2024-04-29
845,45,1,2024-05-27
1838,12,3,2024-03-12
1454,73,16,2024-02-21
1643,69,1,2024-06-20
557,49,8,2024-06-25
918,208,1,2024-06-15
91,145,14,2024-05-23
1950,180,16,2024-02-29
1466,191,2,2024-03-14
746,23,20,2024-04-04
935,211,16,2024-05-19
336,96,12,2024-05-21
1108,38,11,2024-06-12
711,105,6,2024-05-28
823,96,15,2024-03-29
1572,75,5,2024-06-21
1540,127,18,2024-04-14
738,111,3,2024-06-03
519,36,11,2024-04-01
1322,120,15,2024-05-18
1765,175,6,2024-01-11
704,130,5,2024-06-02
700,139,6,2024-05-26
286,209,7,2024-06-26
812,21,14,2024-01-29
1027,140,2,2024-05-13
213,148,1,2024-03-06
1914,141,6,2024-02-28
1401,182,11,2024-05-05
240,84,12,2024-05-20
1919,102,17,2024-06-17
1679,101,8,2024-05-27
720,192,14,2024-06-25
1540,28,8,2024-06-12
1319,117,5,2024-06-26
1834,193,7,2024-01-01
1830,204,17,2024-01-28
1015,37,3,2024-06-26
1946,79,8,2024-04-13
621,212,7,2024-05-18
1308,25,7,2024-01-07
34,8,10,2024-01-31
425,48,3,2024-01-18
520,116,4,2024-04-18
1936,92,13,2024-01-03
1430,153,10,2024-03-28
795,96,7,2024-03-18
878,159,19,2024-05-02
1301,158,19,2024-01-11
1391,126,2,2024-05-07
655,90,1,2024-03-06
1435,122,13,2024-05-17
1577,26,14,2024-06-25
1203,159,12,2024-06-24
1005,7,13,2024-01-10
1972,125,3,2024-05-01
517,140,3,2024-01-22
503,186,4,2024-04-26
778,192,11,2024-03-02
1237,121,2,2024-03-23
635,142,15,2024-02-25
1257,106,4,2024-01-03
1401,33,19,2024-06-21
1600,8,17,2024-04-23
142,129,6,2024-04-28
563,179,19,2024-04-09
1642,138,2,2024-03-05
1200,31,17,2024-05-05
357,116,10,2024-02-11
82,75,20,2024-03-25
874,29,5,2024-01-20
408,124,16,2024-03-04
12,100,6,2024-04-06
90,78,6,2024-02-27
697,175,19,2024-05-06
469,183,15,2024-06-28
1942,30,4,2024-02-12
286,34,20,2024-05-24
49,113,16,2024-04-03
1627,179,14,2024-01-06
1451,135,12,2024-06-11
1114,28,14,2024-05-01
69,72,14,2024-05-22
1438,109,3,2024-01-17
179,68,12,2024-05-01
822,130,8,2024-02-05
248,7,6,2024-01-23
1169,48,7,2024-04-24
1352,140,12,2024-05-22
539,123,3,2024-06-17
380,150,14,2024-01-30
1147,11,8,2024-02-21
302,77,5,2024-06-28
801,3,12,2024-01-16
1045,202,1,2024-01-29
1075,171,9,2024-05-29
1087,3,10,2024-02-05
655,63,16,2024-02-24
387,170,16,2024-05-02
981,55,4,2024-02-14
795,142,18,2024-01-19
300,171,5,2024-05-10
298,195,3,2024-05-02
1052,19,19,2024-02-12
506,161,14,2024-06-09
741,58,9,2024-04-14
123,193,14,2024-01-11
1784,83,13,2024-01-08
395,172,12,2024-04-10
922,156,8,2024-02-02
982,158,17,2024-04-14
1324,194,6,2024-03-02
1227,134,10,2024-05-07
1584,20,14,2024-06-02
64,107,3,2024-05-23
174,181,5,2024-06-13
82,95,9,2024-04-10
576,119,11,2024-03-18
1713,138,20,2024-03-24
1883,79,16,2024-05-10
999,99,19,2024-06-26
1148,175,20,2024-06-02
1354,202,19,2024-02-05
962,87,3,2024-06-26
1003,88,18,2024-05-12
1263,162,3,2024-03-05
1289,69,9,2024-03-14
1218,132,8,2024-03-21
1899,83,8,2024-05-24
392,90,10,2024-02-19
