user_id,food_id,frequency,timestamp
1915,51,11,2024-03-15
1457,22,12,2024-06-03
1638,127,1,2024-06-08
1825,152,14,2024-02-13
748,65,7,2024-05-11
574,134,1,2024-05-05
653,43,2,2024-06-15
490,79,9,2024-04-24
887,87,2,2024-03-10
1536,118,3,2024-03-26
1130,9,5,2024-06-08
22,147,1,2024-03-18
780,52,16,2024-04-07
796,10,9,2024-06-27
769,86,12,2024-05-11
1749,109,14,2024-03-28
272,89,9,2024-05-21
396,126,10,2024-03-09
171,116,3,2024-06-19
1871,82,17,2024-01-30
48,33,4,2024-03-03
153,46,12,2024-01-17
316,147,8,2024-01-23
1769,20,1,2024-01-04
1509,88,20,2024-01-19
320,150,15,2024-06-10
1789,85,4,2024-06-05
250,15,5,2024-02-21
1881,21,6,2024-01-24
1471,24,1,2024-04-20
1622,60,7,2024-01-13
1469,21,13,2024-03-23
1281,136,7,2024-05-01
1675,51,16,2024-06-03
1447,48,16,2024-03-14
1499,152,2,2024-04-23
379,130,1,2024-01-21
361,51,9,2024-02-06
1799,139,19,2024-02-18
1434,32,3,2024-02-18
384,83,8,2024-02-11
809,163,19,2024-03-16
1232,106,17,2024-06-12
585,56,14,2024-03-05
1689,89,8,2024-05-15
15,65,10,2024-02-11
133,16,3,2024-05-06
705,16,20,2024-04-20
164,115,1,2024-06-21
181,82,19,2024-04-02
1430,156,3,2024-05-25
538,82,15,2024-04-01
1521,123,12,2024-05-07
615,126,11,2024-05-19
1526,49,8,2024-05-30
350,11,12,2024-04-14
953,119,11,2024-04-13
950,119,15,2024-02-09
291,99,14,2024-01-07
1789,36,11,2024-04-07
1783,162,5,2024-04-12
749,4,14,2024-06-18
1855,45,5,2024-05-31
1938,48,7,2024-01-25
34,101,16,2024-02-08
555,87,7,2024-01-06
1019,101,6,2024-03-18
1700,141,9,2024-02-28
390,125,20,2024-05-07
887,112,6,2024-05-04
1985,16,12,2024-01-28
138,83,16,2024-06-04
593,37,8,2024-05-12
1932,127,7,2024-04-16
1005,4,10,2024-06-10
325,87,10,2024-06-24
1267,110,20,2024-02-01
1227,34,17,2024-03-13
699,96,5,2024-04-04
1158,122,3,2024-01-05
916,95,14,2024-03-04
429,84,8,2024-03-21
1299,122,9,2024-05-22
698,148,11,2024-06-27
399,33,11,2024-06-10
1173,59,19,2024-06-05
486,64,16,2024-05-24
963,5,11,2024-05-10
1804,25,13,2024-02-07
1278,83,3,2024-05-15
1006,119,20,2024-03-09
138,116,13,2024-02-19
1621,71,5,2024-04-03
1737,16,16,2024-03-04
458,163,1,2024-03-24
730,159,16,2024-05-23
300,70,11,2024-05-04
644,155,18,2024-02-21
1688,166,7,2024-06-01
1240,31,10,2024-01-16
1507,50,17,2024-05-09
579,64,13,2024-04-18
1435,3,10,2024-03-07
419,37,10,2024-01-07
60,165,14,2024-01-21
755,120,5,2024-04-24
1282,98,18,2024-02-10
1217,114,11,2024-01-28
1919,71,15,2024-03-11
406,156,15,2024-03-13
334,151,5,2024-03-23
1959,5,4,2024-01-14
1778,84,18,2024-05-02
756,37,11,2024-04-06
