user_id,age,gender,height_cm,weight_kg,bmi,activity_level,nutrition_goal,recommended_category,daily_calorie_goal
1,16,male,175.4,58.5,19.02,lightly_active,weight_loss,Low Calorie,1746
2,52,male,163.6,46.6,17.41,lightly_active,weight_gain,High Energy,3017
3,50,male,155.4,80.7,33.42,very_active,weight_gain,Low Calorie,2959
4,15,female,167.8,53.8,19.11,very_active,muscle_gain,High Protein,2484
5,28,male,183.4,63.5,18.88,sedentary,maintenance,Balanced Diet,1849
6,37,female,163.1,89.4,33.61,very_active,weight_loss,Low Calorie,1593
7,50,male,158.8,79.6,31.57,moderately_active,weight_gain,Low Calorie,2571
8,57,male,156.4,60.9,24.9,sedentary,weight_gain,High Energy,2603
9,32,female,158.6,90.9,36.14,lightly_active,muscle_gain,Low Calorie,2563
10,57,male,157.9,96.5,38.7,sedentary,weight_gain,Low Calorie,3046
11,25,male,165.1,59.8,21.94,lightly_active,muscle_gain,High Protein,2257
12,17,male,177.8,67.1,21.23,sedentary,weight_gain,High Energy,3080
13,28,female,164.7,66.8,24.63,very_active,weight_gain,High Protein,2771
14,30,male,175.6,74.6,24.19,very_active,maintenance,High Protein,1985
15,23,male,166.9,50.0,17.95,sedentary,weight_loss,Low Calorie,1478
16,65,male,173.2,77.8,25.93,very_active,maintenance,Fiber Rich,2105
17,48,female,152.5,75.4,32.42,sedentary,weight_loss,Low Calorie,1749
18,64,female,164.2,51.1,18.95,very_active,weight_gain,High Protein,2964
19,61,male,180.4,59.5,18.28,lightly_active,weight_loss,Low Calorie,1720
20,55,female,160.2,55.9,21.78,moderately_active,weight_gain,High Protein,3052
21,53,male,160.0,46.1,18.01,moderately_active,muscle_gain,High Protein,2445
22,30,male,180.5,97.1,29.8,sedentary,maintenance,Low Calorie,1835
23,23,male,172.4,97.1,32.67,lightly_active,muscle_gain,Low Calorie,2740
24,28,female,172.9,86.5,28.94,lightly_active,muscle_gain,Low Calorie,2608
25,43,female,172.0,69.8,23.59,lightly_active,weight_gain,High Energy,2565
26,16,female,162.6,57.7,21.82,lightly_active,weight_loss,Low Calorie,1436
27,29,male,150.5,46.7,20.62,moderately_active,weight_loss,Low Calorie,1663
28,32,male,172.8,56.8,19.02,lightly_active,maintenance,Balanced Diet,1924
29,41,female,150.7,50.3,22.15,very_active,muscle_gain,High Protein,2633
30,44,female,170.9,48.0,16.43,sedentary,weight_loss,Low Calorie,1606
31,21,female,152.5,55.5,23.86,very_active,weight_gain,High Protein,2932
32,32,male,165.1,93.1,34.16,sedentary,maintenance,Low Calorie,2081
33,18,male,172.1,74.7,25.22,sedentary,weight_loss,Low Calorie,1785
34,25,male,163.0,71.5,26.91,very_active,weight_loss,Low Calorie,1484
35,15,female,174.6,59.6,19.55,very_active,muscle_gain,High Protein,2633
36,24,female,150.7,57.0,25.1,sedentary,weight_loss,Low Calorie,1782
37,18,female,146.5,71.2,33.17,lightly_active,weight_loss,Low Calorie,1660
38,26,male,150.5,48.7,21.5,lightly_active,maintenance,Balanced Diet,1861
39,52,male,170.0,79.1,27.37,very_active,muscle_gain,High Protein,2467
40,57,male,174.5,58.1,19.08,very_active,weight_gain,High Protein,3187
41,44,female,154.5,86.4,36.2,sedentary,weight_loss,Low Calorie,1634
42,19,male,167.9,72.8,25.82,lightly_active,muscle_gain,High Protein,2270
43,38,male,158.5,69.1,27.51,moderately_active,weight_loss,Low Calorie,1741
44,57,female,148.1,93.3,42.54,moderately_active,weight_loss,Low Calorie,1454
45,32,male,158.4,56.6,22.56,moderately_active,weight_gain,High Protein,3149
46,47,female,159.7,94.8,37.17,sedentary,weight_loss,Low Calorie,1724
47,32,female,146.3,63.3,29.57,lightly_active,muscle_gain,Low Calorie,2365
48,50,female,166.2,75.8,27.44,sedentary,weight_loss,Low Calorie,1753
49,49,male,149.3,65.3,29.3,lightly_active,maintenance,Low Calorie,1865
50,34,male,161.5,96.3,36.92,sedentary,muscle_gain,Low Calorie,2415
51,57,male,151.8,87.9,38.15,very_active,weight_gain,Low Calorie,2742
52,26,male,180.6,46.4,14.23,moderately_active,maintenance,High Protein,2142
53,32,male,153.9,83.6,35.3,very_active,weight_loss,Low Calorie,1640
54,27,male,178.2,70.3,22.14,moderately_active,weight_gain,High Protein,2728
55,57,male,155.1,63.1,26.23,sedentary,muscle_gain,High Protein,2559
56,58,female,174.4,74.5,24.49,sedentary,weight_loss,Low Calorie,1533
57,52,male,183.6,59.6,17.68,sedentary,maintenance,High Energy,1976
58,42,female,163.2,73.1,27.45,very_active,weight_gain,High Energy,2760
59,60,male,164.1,73.6,27.33,lightly_active,muscle_gain,High Protein,2641
60,57,male,182.1,79.3,23.91,sedentary,muscle_gain,High Protein,2719
61,57,female,157.3,67.1,27.12,moderately_active,weight_gain,High Energy,2696
62,57,female,173.2,82.3,27.43,lightly_active,muscle_gain,High Protein,2615
63,34,male,158.6,68.6,27.27,moderately_active,maintenance,Fiber Rich,2026
64,58,female,151.4,71.0,30.97,lightly_active,weight_loss,Low Calorie,1545
65,20,female,169.6,86.3,30.0,moderately_active,weight_gain,Low Calorie,2703
66,16,male,149.7,99.1,44.22,sedentary,maintenance,Low Calorie,2012
67,60,male,173.8,72.2,23.9,lightly_active,weight_gain,High Energy,3171
68,63,male,179.8,93.7,28.98,very_active,weight_gain,Low Calorie,2680
69,18,female,161.7,95.5,36.52,sedentary,maintenance,Low Calorie,1868
70,57,female,160.9,75.7,29.24,moderately_active,maintenance,Low Calorie,2113
71,50,female,158.4,53.8,21.44,very_active,maintenance,High Protein,1932
72,55,male,158.3,87.8,35.04,very_active,weight_gain,Low Calorie,2781
73,19,female,166.4,57.9,20.91,moderately_active,muscle_gain,High Protein,2753
74,23,male,153.6,66.1,28.02,lightly_active,weight_gain,Low Calorie,2565
75,41,female,154.9,70.6,29.42,sedentary,weight_gain,Low Calorie,2930
76,64,female,162.5,83.3,31.55,very_active,maintenance,Low Calorie,1803
77,34,female,167.6,91.9,32.72,very_active,weight_gain,Low Calorie,2999
78,32,male,164.1,46.6,17.3,moderately_active,maintenance,High Protein,2170
79,44,male,182.0,98.9,29.86,sedentary,maintenance,Low Calorie,2103
80,20,male,171.8,52.5,17.79,very_active,weight_gain,High Protein,2551
81,39,female,154.8,70.0,29.21,moderately_active,maintenance,Low Calorie,1942
82,31,female,170.0,70.9,24.53,sedentary,muscle_gain,High Protein,2429
83,64,male,183.4,47.2,14.03,sedentary,weight_gain,High Energy,2704
84,54,male,153.6,51.9,22.0,sedentary,weight_gain,High Energy,2976
85,64,female,156.1,78.3,32.13,sedentary,weight_gain,Low Calorie,2818
86,52,male,149.0,62.2,28.02,very_active,maintenance,Low Calorie,2166
87,19,male,169.9,90.7,31.42,lightly_active,weight_loss,Low Calorie,1756
88,58,female,163.0,51.7,19.46,sedentary,muscle_gain,High Protein,2745
89,57,female,156.1,72.8,29.88,moderately_active,weight_loss,Low Calorie,1615
90,21,female,158.0,64.9,26.0,very_active,weight_gain,High Energy,2945
91,61,male,167.3,80.8,28.87,very_active,maintenance,Low Calorie,2023
92,35,female,170.6,90.7,31.16,sedentary,muscle_gain,Low Calorie,2661
93,63,male,165.2,78.6,28.8,very_active,muscle_gain,Low Calorie,2229
94,35,female,150.5,56.7,25.03,moderately_active,muscle_gain,High Protein,2486
95,50,female,145.3,97.1,45.99,sedentary,weight_gain,Low Calorie,2916
96,50,female,167.7,83.0,29.51,very_active,maintenance,Low Calorie,1808
97,33,male,156.2,83.0,34.02,moderately_active,muscle_gain,Low Calorie,2684
98,42,female,174.9,75.3,24.62,moderately_active,maintenance,High Protein,1938
99,31,female,151.9,84.7,36.71,moderately_active,weight_loss,Low Calorie,1780
100,27,male,156.0,71.6,29.42,moderately_active,weight_loss,Low Calorie,1499
101,29,female,155.8,61.6,25.38,lightly_active,muscle_gain,High Protein,2246
102,50,male,158.8,96.9,38.43,very_active,weight_loss,Low Calorie,1406
103,45,female,159.4,63.7,25.07,sedentary,muscle_gain,High Protein,2689
104,19,male,162.8,49.1,18.53,sedentary,weight_gain,High Energy,2652
105,20,female,174.8,51.5,16.85,very_active,weight_gain,High Protein,3035
106,43,female,172.3,61.4,20.68,very_active,muscle_gain,High Protein,2782
107,54,male,183.5,50.5,15.0,lightly_active,weight_gain,High Energy,2770
108,25,male,156.9,75.4,30.63,lightly_active,weight_loss,Low Calorie,1609
109,59,female,162.8,61.0,23.02,lightly_active,muscle_gain,High Protein,2489
110,19,female,165.6,95.8,34.93,lightly_active,maintenance,Low Calorie,1858
111,56,male,153.5,59.6,25.29,lightly_active,weight_loss,Low Calorie,1430
112,65,male,159.4,86.2,33.93,moderately_active,maintenance,Low Calorie,1863
113,59,female,154.1,67.1,28.26,moderately_active,maintenance,Low Calorie,2024
114,53,male,149.5,68.8,30.78,moderately_active,muscle_gain,Low Calorie,2226
115,29,male,183.6,91.0,27.0,sedentary,muscle_gain,High Protein,2790
116,63,male,176.0,70.9,22.89,very_active,muscle_gain,High Protein,2385
117,55,female,169.4,98.3,34.26,very_active,muscle_gain,Low Calorie,2618
118,35,female,165.1,92.2,33.82,moderately_active,maintenance,Low Calorie,2155
119,33,female,164.9,67.0,24.64,sedentary,maintenance,Balanced Diet,1845
120,31,female,154.7,98.4,41.12,very_active,weight_loss,Low Calorie,1736
121,41,female,146.6,73.5,34.2,very_active,maintenance,Low Calorie,2189
122,28,male,157.9,52.2,20.94,moderately_active,maintenance,High Protein,2157
123,22,female,145.9,79.7,37.44,lightly_active,weight_gain,Low Calorie,2818
124,50,male,163.1,57.4,21.58,sedentary,maintenance,Balanced Diet,1860
125,46,male,182.5,61.1,18.34,moderately_active,maintenance,High Protein,2047
126,30,female,158.7,53.0,21.04,lightly_active,weight_gain,High Energy,2571
127,64,female,168.7,67.8,23.82,moderately_active,weight_loss,Low Calorie,1544
128,52,female,162.4,81.3,30.83,lightly_active,maintenance,Low Calorie,2075
129,37,female,155.0,87.0,36.21,very_active,maintenance,Low Calorie,1964
130,59,male,156.8,66.1,26.88,very_active,weight_loss,Low Calorie,1562
131,60,female,172.4,66.0,22.21,lightly_active,maintenance,Balanced Diet,1818
132,47,male,183.7,63.3,18.76,sedentary,maintenance,Balanced Diet,1851
133,15,female,166.7,67.5,24.29,lightly_active,weight_loss,Low Calorie,1640
134,36,female,163.7,66.9,24.96,sedentary,muscle_gain,High Protein,2746
135,35,female,163.8,93.8,34.96,very_active,weight_loss,Low Calorie,1716
136,30,male,171.4,95.7,32.58,lightly_active,weight_loss,Low Calorie,1622
137,63,male,171.4,93.0,31.66,very_active,weight_gain,Low Calorie,2806
138,17,male,160.0,48.1,18.79,moderately_active,muscle_gain,High Protein,2641
139,30,male,167.7,76.1,27.06,lightly_active,weight_gain,High Energy,2679
140,54,male,180.2,79.1,24.36,lightly_active,maintenance,Balanced Diet,2098
141,29,male,165.1,59.0,21.65,moderately_active,weight_loss,Low Calorie,1638
142,58,female,161.4,49.1,18.85,moderately_active,muscle_gain,High Protein,2634
143,44,female,170.4,56.0,19.29,very_active,maintenance,High Protein,1854
144,39,male,169.2,76.6,26.76,moderately_active,weight_loss,Low Calorie,1737
145,32,female,145.2,92.6,43.92,sedentary,maintenance,Low Calorie,1946
146,53,male,177.7,57.0,18.05,lightly_active,muscle_gain,High Protein,2340
